Ti­tulo,Tipo de Propiedad,Zona,Numero de Areas,Dormitorios,Numero de Banos,Superficie Total,Superficie Construida,Precio,Expensas,Fecha de Publicacion
Departamento De 2 Ambientes En Venta En Almagro,Departamento,Almagro Norte,2,1,1,43,43,"$77,000",$0,05/10/2024
Departamento - Almagro,Departamento,Almagro Norte,2,1,1,36,36,"$79,500",$0,21/11/2024
Departamento Al Frente - 2 Ambientes Muy Luminosos Con Hermosa Terraza Propia,Departamento,Almagro Norte,2,1,1,56,56,"$79,500",$0,18/11/2024
Departamento En Venta 2 Ambiente Contrafrente En La Mejor Zona De Almagro A Metros De Av Medrano,Departamento,Almagro Norte,2,1,1,43,37,"$79,900",$0,14/11/2024
LUMINOSO CON BALCON,Departamento,Almagro Norte,2,1,1,41,37,"$80,000",$0,12/11/2024
Hermoso Semipiso 2 Ambientes En Zona Estratégica,Departamento,Almagro Norte,2,1,1,35,35,"$82,500",$0,11/11/2024
Departamento En Venta En Almagro De 2 Ambientes Al Frente,Departamento,Almagro Norte,2,1,1,49,46,"$82,500",$0,20/11/2024
Av. Cordoba 3800 - Departamento de 2 ambientes muy luminoso - Palermo / Almagro,Departamento,Almagro Norte,2,1,1,34,34,"$85,000",$0,24/09/2024
Departamento 2 Ambientes En Venta En Almagro,Departamento,Almagro Norte,2,1,1,53,40,"$85,000",$0,24/10/2024
Departamento De 2 Ambientes En Venta En Almagro,Departamento,Almagro Norte,2,1,1,48,43,"$86,000",$0,10/11/2024
2 Amb Cfte Con Cocina Independiente.,Departamento,Almagro Norte,2,1,1,40,40,"$87,000",$0,04/10/2024
Departamento En Venta Gascon Al 1000,Departamento,Almagro Norte,2,1,1,40,0,"$87,900",$0,14/11/2024
Depto 3ambientes Con Balcon En Almagro,Departamento,Almagro Norte,3,2,1,47,43,"$90,000",$0,06/10/2024
Departamento En Almagro,Departamento,Almagro Norte,3,2,1,54,47,"$90,000",$0,09/10/2024
Departamento - Almagro,Departamento,Almagro Norte,3,2,1,48,48,"$90,000",$0,31/10/2024
Venta - Departamento - 3 Ambientes - Almagro,Departamento,Almagro Norte,3,2,1,54,51,"$93,000",$0,08/11/2024
Departamento De 2 Ambientes En Venta En Almagro,Departamento,Almagro Norte,2,1,1,45,42,"$94,000",$0,15/11/2024
Departamento 2 Ambientes Con Amplio Patio En Almagro,Departamento,Almagro Norte,2,1,1,67,35,"$95,000",$0,16/10/2024
Departamento De 2 Ambientes En Venta En Almagro,Departamento,Almagro Norte,2,1,1,56,40,"$97,000",$0,23/10/2024
"Humahuaca 3700, Emprendimiento En Pozo, Monoambiente Divisible, Categoria, Almagro, Subte B",Departamento,Almagro Norte,2,1,1,42,35,"$97,900",$0,22/11/2024
Departamento 4 Ambientes Muy Luminoso En Venta!,Departamento,Almagro Norte,4,3,1,81,74,"$99,000",$0,01/10/2024
Venta: 2 Amb Super Luminoso Â· Piscina Â· Sum Con Parr Â· Apto Prof Â· Excelente Estado!,Departamento,Almagro Norte,2,1,1,38,38,"$100,000",$0,15/11/2024
Departamento En Almagro,Departamento,Almagro Norte,2,1,2,49,46,"$100,000",$0,15/11/2024
A Estrenar. Venta En Pozo. Departamento. 2 Ambientes. 2 Baños. Vestidor. Frente. Balcón. Almagro,Departamento,Almagro Norte,2,1,2,45,40,"$102,000",$0,12/11/2024
A Estrenar. Venta En Pozo. Departamento. 2 Ambientes. 2 Baños. Vestidor. Frente. Balcón. Almagro,Departamento,Almagro Norte,2,1,1,45,40,"$105,000",$0,08/11/2024
"Humahuaca 3700, Emprendimiento Pozo, 2 Ambientes, Dormitorio En Suite, Categoria, Almagro, Subte B",Departamento,Almagro Norte,2,1,1,45,42,"$106,900",$0,22/11/2024
A Estrenar. Venta En Pozo. Departamento. 2 Ambientes. 2 Baños. Vestidor. Frente. Balcón. Almagro,Departamento,Almagro Norte,2,1,1,45,40,"$108,000",$0,12/11/2024
A Estrenar. En Pozo. Departamento. 2 Ambientes. 2 Baños. Vestidor. Frente. Balcón. Almagro,Departamento,Almagro Norte,2,1,1,45,40,"$110,000",$0,12/11/2024
